UserID,Name,Gender,Age,MovieID,Rating,friendsUser
1,John,Male,56,11346,1.26,27
1,John,Male,56,108331,4.35,40
1,John,Male,56,27922,1.72,42
1,John,Male,56,40071,1.56,44
1,John,Male,56,93103,3.64,68
1,John,Male,56,373546,2.95,70
1,John,Male,56,203071,1.24,34
1,John,Male,56,59441,1.21,55
1,John,Male,56,77878,4.87,44
1,John,Male,56,9272,3.72,52
1,John,Male,56,36245,1.89,59
1,John,Male,56,314946,1.87,87
1,John,Male,56,10851,2.86,68
1,John,Male,56,46027,2.28,56
1,John,Male,56,149459,2.54,7
1,John,Male,56,64349,3.29,96
1,John,Male,56,13107,2.06,43
1,John,Male,56,254194,1.54,25
1,John,Male,56,118876,2.65,39
2,Michael,Male,45,104343,4.31,60
2,Michael,Male,45,20444,1.89,46
2,Michael,Male,45,39264,1.77,86
2,Michael,Male,45,42729,1.94,80
2,Michael,Male,45,122671,4.43,97
2,Michael,Male,45,283704,2.93,57
2,Michael,Male,45,386891,4.8,29
2,Michael,Male,45,68761,3.11,52
2,Michael,Male,45,316727,2.86,10
2,Michael,Male,45,174358,2.54,20
2,Michael,Male,45,393659,1.14,8
2,Michael,Male,45,14000,2.94,80
2,Michael,Male,45,12455,2.94,79
2,Michael,Male,45,66700,4.78,70
2,Michael,Male,45,41777,3.79,24
2,Michael,Male,45,399798,2.41,64
2,Michael,Male,45,12577,2.12,77
2,Michael,Male,45,44885,4.72,20
2,Michael,Male,45,13259,2.36,42
2,Michael,Male,45,105130,1.5,77
2,Michael,Male,45,362150,3.79,83
2,Michael,Male,45,16899,2.32,87
2,Michael,Male,45,388192,2.3,66
2,Michael,Male,45,405204,1.83,30
2,Michael,Male,45,124639,2.1,8
2,Michael,Male,45,37024,1.36,92
2,Michael,Male,45,171859,2.92,51
2,Michael,Male,45,32866,2.5,36
2,Michael,Male,45,50201,2.56,39
2,Michael,Male,45,148536,2.93,97
2,Michael,Male,45,13507,2.43,89
